datetime,option_symbol,action,order_size,day,expiration_date,sort_by
2024-01-09T18:06:39.352996638Z,SPX   240315C04700000,B,113,2024-01-09,2024-03-15,2024-01-09 18:06:39.352996638+00:00
2024-01-09T20:30:26.578557935Z,SPX   240119P04700000,B,26,2024-01-09,2024-01-19,2024-01-09 20:30:26.578557935+00:00
2024-01-10T19:12:09.839984445Z,SPX   240517P03400000,S,5,2024-01-10,2024-05-17,2024-01-10 19:12:09.839984445+00:00
2024-01-10T19:21:03.891879239Z,SPX   240216P04540000,S,58,2024-01-10,2024-02-16,2024-01-10 19:21:03.891879239+00:00
2024-01-10T19:43:41.068884625Z,SPX   240419P04600000,S,1006,2024-01-10,2024-04-19,2024-01-10 19:43:41.068884625+00:00
2024-01-11T16:14:39.814626782Z,SPX   240920C05400000,B,71,2024-01-11,2024-09-20,2024-01-11 16:14:39.814626782+00:00
2024-01-12T17:53:55.814462936Z,SPX   240315C04900000,B,161,2024-01-12,2024-03-15,2024-01-12 17:53:55.814462936+00:00
2024-01-12T18:49:33.415840546Z,SPX   240419P04000000,S,43,2024-01-12,2024-04-19,2024-01-12 18:49:33.415840546+00:00
2024-01-12T20:02:28.497804603Z,SPX   240216P04700000,S,194,2024-01-12,2024-02-16,2024-01-12 20:02:28.497804603+00:00
2024-01-12T20:29:19.339576717Z,SPX   240315C05070000,B,235,2024-01-12,2024-03-15,2024-01-12 20:29:19.339576717+00:00
2024-01-16T14:45:40.650567198Z,SPX   240315P04650000,B,93,2024-01-16,2024-03-15,2024-01-16 14:45:40.650567198+00:00
2024-01-16T15:11:51.093351643Z,SPX   240216P04310000,S,41,2024-01-16,2024-02-16,2024-01-16 15:11:51.093351643+00:00
2024-01-16T15:43:26.605123176Z,SPX   240216C04925000,S,1335,2024-01-16,2024-02-16,2024-01-16 15:43:26.605123176+00:00
2024-01-16T16:06:20.826261380Z,SPX   240119P04750000,S,16,2024-01-16,2024-01-19,2024-01-16 16:06:20.826261380+00:00
2024-01-16T19:24:36.391808503Z,SPX   240517C05375000,S,1827,2024-01-16,2024-05-17,2024-01-16 19:24:36.391808503+00:00
2024-01-16T19:33:32.832408059Z,SPX   240315P03860000,S,137,2024-01-16,2024-03-15,2024-01-16 19:33:32.832408059+00:00
2024-01-17T15:02:17.349377287Z,SPX   240119C04725000,B,37,2024-01-17,2024-01-19,2024-01-17 15:02:17.349377287+00:00
2024-01-18T14:44:45.355761670Z,SPX   240119P04725000,S,20,2024-01-18,2024-01-19,2024-01-18 14:44:45.355761670+00:00
2024-01-18T15:37:44.205727119Z,SPX   240119C04760000,B,12,2024-01-18,2024-01-19,2024-01-18 15:37:44.205727119+00:00
2024-01-18T16:36:30.452708261Z,SPX   240119C04770000,S,14,2024-01-18,2024-01-19,2024-01-18 16:36:30.452708261+00:00
2024-01-18T16:54:17.628296598Z,SPX   240119C04780000,B,19,2024-01-18,2024-01-19,2024-01-18 16:54:17.628296598+00:00
2024-01-18T17:35:28.022235655Z,SPX   240315P03600000,B,5,2024-01-18,2024-03-15,2024-01-18 17:35:28.022235655+00:00
2024-01-18T20:58:50.777912159Z,SPX   240119P04740000,B,66,2024-01-18,2024-01-19,2024-01-18 20:58:50.777912159+00:00
2024-01-19T15:59:50.936133715Z,SPX   250117P02600000,S,217,2024-01-19,2025-01-17,2024-01-19 15:59:50.936133715+00:00
2024-01-22T14:59:27.039697996Z,SPX   240216P04400000,S,2882,2024-01-22,2024-02-16,2024-01-22 14:59:27.039697996+00:00
2024-01-22T15:17:58.006783880Z,SPX   240216P04500000,S,3324,2024-01-22,2024-02-16,2024-01-22 15:17:58.006783880+00:00
2024-01-22T15:26:25.720528296Z,SPX   240216P04400000,S,124,2024-01-22,2024-02-16,2024-01-22 15:26:25.720528296+00:00
2024-01-22T15:48:30.154880777Z,SPX   240719C05600000,B,28,2024-01-22,2024-07-19,2024-01-22 15:48:30.154880777+00:00
2024-01-22T15:50:28.834330780Z,SPX   240315P04715000,S,1028,2024-01-22,2024-03-15,2024-01-22 15:50:28.834330780+00:00
2024-01-22T16:33:25.085357834Z,SPX   250321C08000000,B,9,2024-01-22,2025-03-21,2024-01-22 16:33:25.085357834+00:00
2024-01-22T19:21:12.630864579Z,SPX   240216C04940000,B,181,2024-01-22,2024-02-16,2024-01-22 19:21:12.630864579+00:00
2024-01-22T19:36:05.902686455Z,SPX   240517P04110000,B,15,2024-01-22,2024-05-17,2024-01-22 19:36:05.902686455+00:00
2024-01-23T14:57:00.121479247Z,SPX   240719P04750000,S,6,2024-01-23,2024-07-19,2024-01-23 14:57:00.121479247+00:00
2024-01-23T17:30:17.851307763Z,SPX   240621C04850000,S,129,2024-01-23,2024-06-21,2024-01-23 17:30:17.851307763+00:00
2024-01-23T20:31:00.935588138Z,SPX   240216P03850000,S,2164,2024-01-23,2024-02-16,2024-01-23 20:31:00.935588138+00:00
2024-01-24T15:01:49.841194046Z,SPX   240315C04925000,S,276,2024-01-24,2024-03-15,2024-01-24 15:01:49.841194046+00:00
2024-01-24T15:15:27.316271137Z,SPX   240419P04655000,B,64,2024-01-24,2024-04-19,2024-01-24 15:15:27.316271137+00:00
2024-01-24T15:22:33.400566885Z,SPX   240920C05175000,S,121,2024-01-24,2024-09-20,2024-01-24 15:22:33.400566885+00:00
2024-01-24T16:53:56.162998760Z,SPX   240216P04740000,S,1056,2024-01-24,2024-02-16,2024-01-24 16:53:56.162998760+00:00
2024-01-25T19:18:17.784891957Z,SPX   240920P04925000,B,17,2024-01-25,2024-09-20,2024-01-25 19:18:17.784891957+00:00
2024-01-25T19:47:06.922035607Z,SPX   240816P04125000,S,323,2024-01-25,2024-08-16,2024-01-25 19:47:06.922035607+00:00
2024-01-26T16:48:28.120700093Z,SPX   241220P04400000,B,547,2024-01-26,2024-12-20,2024-01-26 16:48:28.120700093+00:00
2024-01-26T17:35:29.244666334Z,SPX   241220C05300000,S,722,2024-01-26,2024-12-20,2024-01-26 17:35:29.244666334+00:00
2024-01-26T20:35:00.738193204Z,SPX   250117C04800000,B,72,2024-01-26,2025-01-17,2024-01-26 20:35:00.738193204+00:00
2024-01-30T20:59:17.234693982Z,SPX   250117C05500000,B,111,2024-01-30,2025-01-17,2024-01-30 20:59:17.234693982+00:00
2024-01-31T14:36:34.117729867Z,SPX   250117C04950000,B,57,2024-01-31,2025-01-17,2024-01-31 14:36:34.117729867+00:00
2024-01-31T14:46:38.052176088Z,SPX   240920P04975000,S,32,2024-01-31,2024-09-20,2024-01-31 14:46:38.052176088+00:00
2024-01-31T16:51:10.364470294Z,SPX   240419C05000000,S,72,2024-01-31,2024-04-19,2024-01-31 16:51:10.364470294+00:00
2024-01-31T19:41:23.190105674Z,SPX   240517P05000000,B,8,2024-01-31,2024-05-17,2024-01-31 19:41:23.190105674+00:00
2024-02-01T14:57:47.866380756Z,SPX   240216C05000000,B,1248,2024-02-01,2024-02-16,2024-02-01 14:57:47.866380756+00:00
2024-02-01T16:22:44.826748358Z,SPX   240719C05400000,S,220,2024-02-01,2024-07-19,2024-02-01 16:22:44.826748358+00:00
2024-02-01T20:52:35.987687968Z,SPX   240315C05100000,B,395,2024-02-01,2024-03-15,2024-02-01 20:52:35.987687968+00:00
2024-02-02T15:01:20.195731052Z,SPX   240315P04700000,S,190,2024-02-02,2024-03-15,2024-02-02 15:01:20.195731052+00:00
2024-02-02T17:59:04.838203321Z,SPX   240621C05125000,S,12,2024-02-02,2024-06-21,2024-02-02 17:59:04.838203321+00:00
2024-02-02T19:11:52.524878348Z,SPX   240216P04880000,B,5,2024-02-02,2024-02-16,2024-02-02 19:11:52.524878348+00:00
2024-02-02T19:14:14.277852050Z,SPX   240216P04800000,B,663,2024-02-02,2024-02-16,2024-02-02 19:14:14.277852050+00:00
2024-02-05T15:18:47.704613322Z,SPX   240216P04865000,S,133,2024-02-05,2024-02-16,2024-02-05 15:18:47.704613322+00:00
2024-02-05T19:50:40.409079724Z,SPX   240216P04920000,S,100,2024-02-05,2024-02-16,2024-02-05 19:50:40.409079724+00:00
2024-02-06T15:30:20.761389057Z,SPX   240920C04850000,B,28,2024-02-06,2024-09-20,2024-02-06 15:30:20.761389057+00:00
2024-02-06T19:08:53.310037451Z,SPX   240315C05240000,S,587,2024-02-06,2024-03-15,2024-02-06 19:08:53.310037451+00:00
2024-02-07T17:44:00.049878617Z,SPX   240419P04410000,S,394,2024-02-07,2024-04-19,2024-02-07 17:44:00.049878617+00:00
2024-02-07T18:48:33.462167190Z,SPX   240315P05020000,S,470,2024-02-07,2024-03-15,2024-02-07 18:48:33.462167190+00:00
2024-02-07T20:55:59.480697829Z,SPX   240216P04950000,B,808,2024-02-07,2024-02-16,2024-02-07 20:55:59.480697829+00:00
2024-02-08T15:07:36.315002353Z,SPX   240216P04400000,S,2720,2024-02-08,2024-02-16,2024-02-08 15:07:36.315002353+00:00
2024-02-08T15:12:16.641695895Z,SPX   240621P04250000,B,290,2024-02-08,2024-06-21,2024-02-08 15:12:16.641695895+00:00
2024-02-08T16:09:50.812538630Z,SPX   240517P04510000,S,28,2024-02-08,2024-05-17,2024-02-08 16:09:50.812538630+00:00
2024-02-08T16:17:03.490032324Z,SPX   240920C05500000,S,267,2024-02-08,2024-09-20,2024-02-08 16:17:03.490032324+00:00
2024-02-08T17:41:50.246590170Z,SPX   240315P05015000,B,130,2024-02-08,2024-03-15,2024-02-08 17:41:50.246590170+00:00
2024-02-08T20:25:37.652324768Z,SPX   240315P05015000,S,168,2024-02-08,2024-03-15,2024-02-08 20:25:37.652324768+00:00
2024-02-09T14:58:25.363927704Z,SPX   240315P04300000,S,1951,2024-02-09,2024-03-15,2024-02-09 14:58:25.363927704+00:00
2024-02-09T15:12:56.740430471Z,SPX   240621P05000000,B,250,2024-02-09,2024-06-21,2024-02-09 15:12:56.740430471+00:00
2024-02-09T15:36:12.707543097Z,SPX   240517C05400000,S,1293,2024-02-09,2024-05-17,2024-02-09 15:36:12.707543097+00:00
2024-02-09T16:34:48.533635226Z,SPX   241115P03750000,S,409,2024-02-09,2024-11-15,2024-02-09 16:34:48.533635226+00:00
2024-02-09T16:52:56.459687893Z,SPX   240315P05030000,B,24,2024-02-09,2024-03-15,2024-02-09 16:52:56.459687893+00:00
2024-02-09T17:08:56.540531791Z,SPX   240517P04680000,S,149,2024-02-09,2024-05-17,2024-02-09 17:08:56.540531791+00:00
2024-02-09T19:59:31.328954761Z,SPX   240315P04450000,B,224,2024-02-09,2024-03-15,2024-02-09 19:59:31.328954761+00:00
2024-02-12T15:30:42.828723267Z,SPX   240517P03675000,S,295,2024-02-12,2024-05-17,2024-02-12 15:30:42.828723267+00:00
2024-02-12T16:21:32.811822479Z,SPX   240315P04600000,S,2089,2024-02-12,2024-03-15,2024-02-12 16:21:32.811822479+00:00
2024-02-12T16:40:59.045980724Z,SPX   240216P05040000,S,15,2024-02-12,2024-02-16,2024-02-12 16:40:59.045980724+00:00
2024-02-13T14:55:38.518855535Z,SPX   240315C04970000,B,91,2024-02-13,2024-03-15,2024-02-13 14:55:38.518855535+00:00
2024-02-13T15:59:04.723549413Z,SPX   240216P04500000,B,1367,2024-02-13,2024-02-16,2024-02-13 15:59:04.723549413+00:00
2024-02-13T16:30:48.544463485Z,SPX   241220C05075000,B,36,2024-02-13,2024-12-20,2024-02-13 16:30:48.544463485+00:00
2024-02-13T17:01:50.585574274Z,SPX   240315P04225000,S,1066,2024-02-13,2024-03-15,2024-02-13 17:01:50.585574274+00:00
2024-02-13T18:56:42.246115661Z,SPX   240315P04885000,B,178,2024-02-13,2024-03-15,2024-02-13 18:56:42.246115661+00:00
2024-02-13T19:18:40.776731289Z,SPX   240315C05100000,B,124,2024-02-13,2024-03-15,2024-02-13 19:18:40.776731289+00:00
2024-02-13T19:44:13.519108544Z,SPX   240315P04950000,S,196,2024-02-13,2024-03-15,2024-02-13 19:44:13.519108544+00:00
2024-02-13T20:33:55.153499835Z,SPX   241220P03500000,S,12,2024-02-13,2024-12-20,2024-02-13 20:33:55.153499835+00:00
2024-02-14T16:22:07.754223419Z,SPX   240216P04850000,B,727,2024-02-14,2024-02-16,2024-02-14 16:22:07.754223419+00:00
2024-02-14T16:52:14.182330538Z,SPX   241018C05350000,B,56,2024-02-14,2024-10-18,2024-02-14 16:52:14.182330538+00:00
2024-02-14T19:29:17.164363697Z,SPX   240315P04760000,S,1944,2024-02-14,2024-03-15,2024-02-14 19:29:17.164363697+00:00
2024-02-14T20:43:30.499711677Z,SPX   240216P04935000,B,213,2024-02-14,2024-02-16,2024-02-14 20:43:30.499711677+00:00
2024-02-14T20:48:27.855114086Z,SPX   250117P04800000,B,87,2024-02-14,2025-01-17,2024-02-14 20:48:27.855114086+00:00
2024-02-15T15:32:22.250183678Z,SPX   240216P04950000,B,2,2024-02-15,2024-02-16,2024-02-15 15:32:22.250183678+00:00
2024-02-15T16:16:09.141620106Z,SPX   240216C05045000,B,27,2024-02-15,2024-02-16,2024-02-15 16:16:09.141620106+00:00
2024-02-15T17:45:10.591108882Z,SPX   240621P04050000,B,433,2024-02-15,2024-06-21,2024-02-15 17:45:10.591108882+00:00
2024-02-15T20:00:07.327690916Z,SPX   240216P05030000,S,193,2024-02-15,2024-02-16,2024-02-15 20:00:07.327690916+00:00
2024-02-15T20:16:12.882864153Z,SPX   240216P04980000,B,71,2024-02-15,2024-02-16,2024-02-15 20:16:12.882864153+00:00
2024-02-15T20:50:10.709113197Z,SPX   240216C05025000,B,24,2024-02-15,2024-02-16,2024-02-15 20:50:10.709113197+00:00
2024-02-16T17:41:55.314180822Z,SPX   240315C05025000,B,61,2024-02-16,2024-03-15,2024-02-16 17:41:55.314180822+00:00
2024-02-16T18:03:18.876966719Z,SPX   240419P04725000,S,525,2024-02-16,2024-04-19,2024-02-16 18:03:18.876966719+00:00
2024-02-16T20:44:45.234373337Z,SPX   240517P05020000,S,160,2024-02-16,2024-05-17,2024-02-16 20:44:45.234373337+00:00
2024-02-20T15:09:35.162944013Z,SPX   240315C05350000,S,443,2024-02-20,2024-03-15,2024-02-20 15:09:35.162944013+00:00
2024-02-20T15:20:14.950200080Z,SPX   240816P03900000,B,15,2024-02-20,2024-08-16,2024-02-20 15:20:14.950200080+00:00
2024-02-20T15:54:19.896544310Z,SPX   240315P04450000,S,3530,2024-02-20,2024-03-15,2024-02-20 15:54:19.896544310+00:00
2024-02-20T18:28:04.241388405Z,SPX   241220P04600000,S,10,2024-02-20,2024-12-20,2024-02-20 18:28:04.241388405+00:00
2024-02-21T16:09:44.759844313Z,SPX   241220P04900000,B,25,2024-02-21,2024-12-20,2024-02-21 16:09:44.759844313+00:00
2024-02-21T16:31:41.836108769Z,SPX   240419P04375000,B,376,2024-02-21,2024-04-19,2024-02-21 16:31:41.836108769+00:00
2024-02-22T17:43:57.341904300Z,SPX   240621C05010000,B,20,2024-02-22,2024-06-21,2024-02-22 17:43:57.341904300+00:00
2024-02-22T18:35:33.074755730Z,SPX   240621C05400000,B,597,2024-02-22,2024-06-21,2024-02-22 18:35:33.074755730+00:00
2024-02-22T18:40:07.245396965Z,SPX   241220P04600000,S,43,2024-02-22,2024-12-20,2024-02-22 18:40:07.245396965+00:00
2024-02-22T19:56:35.923560519Z,SPX   240315P04790000,S,1481,2024-02-22,2024-03-15,2024-02-22 19:56:35.923560519+00:00
2024-02-23T15:46:40.828797894Z,SPX   240315P05075000,S,26,2024-02-23,2024-03-15,2024-02-23 15:46:40.828797894+00:00
2024-02-23T16:04:24.359335564Z,SPX   240315P05050000,S,7,2024-02-23,2024-03-15,2024-02-23 16:04:24.359335564+00:00
2024-02-23T19:29:48.447404213Z,SPX   240315C05600000,S,2,2024-02-23,2024-03-15,2024-02-23 19:29:48.447404213+00:00
2024-02-23T20:43:14.263745937Z,SPX   240315P05100000,B,44,2024-02-23,2024-03-15,2024-02-23 20:43:14.263745937+00:00
2024-02-23T20:50:40.785427391Z,SPX   240315P05105000,S,221,2024-02-23,2024-03-15,2024-02-23 20:50:40.785427391+00:00
2024-02-26T18:39:20.362409740Z,SPX   240419C05350000,S,172,2024-02-26,2024-04-19,2024-02-26 18:39:20.362409740+00:00
2024-02-27T15:19:36.583209389Z,SPX   240315P05080000,B,80,2024-02-27,2024-03-15,2024-02-27 15:19:36.583209389+00:00
2024-02-27T20:27:31.210427763Z,SPX   250221P03600000,S,4,2024-02-27,2025-02-21,2024-02-27 20:27:31.210427763+00:00
2024-02-28T15:23:42.554181897Z,SPX   241018C05100000,B,1,2024-02-28,2024-10-18,2024-02-28 15:23:42.554181897+00:00
2024-02-28T16:06:33.671143961Z,SPX   240315P05075000,S,392,2024-02-28,2024-03-15,2024-02-28 16:06:33.671143961+00:00
2024-02-28T19:50:43.749497467Z,SPX   240315P04850000,B,395,2024-02-28,2024-03-15,2024-02-28 19:50:43.749497467+00:00
2024-02-29T15:16:55.231827503Z,SPX   240315P04900000,B,488,2024-02-29,2024-03-15,2024-02-29 15:16:55.231827503+00:00
2024-02-29T16:17:55.238336890Z,SPX   241220C04000000,B,7,2024-02-29,2024-12-20,2024-02-29 16:17:55.238336890+00:00
2024-02-29T18:26:29.005673669Z,SPX   251219P04500000,B,128,2024-02-29,2025-12-19,2024-02-29 18:26:29.005673669+00:00
2024-03-01T14:45:08.495819097Z,SPX   240315P05095000,S,67,2024-03-01,2024-03-15,2024-03-01 14:45:08.495819097+00:00
2024-03-01T14:59:06.824357493Z,SPX   240920P04500000,S,120,2024-03-01,2024-09-20,2024-03-01 14:59:06.824357493+00:00
2024-03-01T15:45:45.058424508Z,SPX   240517C04850000,S,9,2024-03-01,2024-05-17,2024-03-01 15:45:45.058424508+00:00
2024-03-01T18:04:23.815195488Z,SPX   241115P00800000,S,343,2024-03-01,2024-11-15,2024-03-01 18:04:23.815195488+00:00
2024-03-01T19:09:04.164163189Z,SPX   240315C05185000,B,138,2024-03-01,2024-03-15,2024-03-01 19:09:04.164163189+00:00
2024-03-01T20:23:08.386598888Z,SPX   240315C05140000,S,100,2024-03-01,2024-03-15,2024-03-01 20:23:08.386598888+00:00
2024-03-04T15:19:29.876905041Z,SPX   240419P04300000,S,490,2024-03-04,2024-04-19,2024-03-04 15:19:29.876905041+00:00
2024-03-04T16:36:52.132199715Z,SPX   241220P05100000,S,23,2024-03-04,2024-12-20,2024-03-04 16:36:52.132199715+00:00
2024-03-04T18:23:05.039573146Z,SPX   240621C04975000,S,4,2024-03-04,2024-06-21,2024-03-04 18:23:05.039573146+00:00
2024-03-05T19:29:20.075078821Z,SPX   240517P04635000,B,68,2024-03-05,2024-05-17,2024-03-05 19:29:20.075078821+00:00
2024-03-07T15:19:58.629739635Z,SPX   251219C05500000,S,21,2024-03-07,2025-12-19,2024-03-07 15:19:58.629739635+00:00
2024-03-07T19:06:27.625374710Z,SPX   240315P04800000,S,573,2024-03-07,2024-03-15,2024-03-07 19:06:27.625374710+00:00
2024-03-07T20:16:06.915453449Z,SPX   240719C05400000,B,174,2024-03-07,2024-07-19,2024-03-07 20:16:06.915453449+00:00
2024-03-08T15:22:25.753178370Z,SPX   240315C05325000,B,172,2024-03-08,2024-03-15,2024-03-08 15:22:25.753178370+00:00
2024-03-08T16:10:11.162112812Z,SPX   240315P05000000,B,908,2024-03-08,2024-03-15,2024-03-08 16:10:11.162112812+00:00
2024-03-08T17:41:40.458728335Z,SPX   240920P04750000,S,77,2024-03-08,2024-09-20,2024-03-08 17:41:40.458728335+00:00
2024-03-11T14:52:00.550456403Z,SPX   241115C04450000,S,20,2024-03-11,2024-11-15,2024-03-11 14:52:00.550456403+00:00
2024-03-11T16:52:43.911338414Z,SPX   240719C05850000,S,678,2024-03-11,2024-07-19,2024-03-11 16:52:43.911338414+00:00
2024-03-12T13:38:06.521117039Z,SPX   240719P04600000,S,7,2024-03-12,2024-07-19,2024-03-12 13:38:06.521117039+00:00
2024-03-12T16:53:49.316008643Z,SPX   240419C05250000,S,19,2024-03-12,2024-04-19,2024-03-12 16:53:49.316008643+00:00
2024-03-12T18:58:14.497209030Z,SPX   240315P05150000,B,77,2024-03-12,2024-03-15,2024-03-12 18:58:14.497209030+00:00
2024-03-12T20:02:53.656102823Z,SPX   240621C05240000,S,34,2024-03-12,2024-06-21,2024-03-12 20:02:53.656102823+00:00
2024-03-13T13:33:28.256838165Z,SPX   240419C05200000,S,373,2024-03-13,2024-04-19,2024-03-13 13:33:28.256838165+00:00
2024-03-13T15:38:09.954512234Z,SPX   240315P05175000,B,8,2024-03-13,2024-03-15,2024-03-13 15:38:09.954512234+00:00
2024-03-13T16:35:53.699399709Z,SPX   240315C05190000,S,39,2024-03-13,2024-03-15,2024-03-13 16:35:53.699399709+00:00
2024-03-14T13:41:56.662459135Z,SPX   241220P01900000,B,804,2024-03-14,2024-12-20,2024-03-14 13:41:56.662459135+00:00
2024-03-14T13:55:57.762159546Z,SPX   240315C05200000,S,144,2024-03-14,2024-03-15,2024-03-14 13:55:57.762159546+00:00
2024-03-14T15:38:26.256099636Z,SPX   240315P05120000,B,19,2024-03-14,2024-03-15,2024-03-14 15:38:26.256099636+00:00
2024-03-14T15:52:53.168845339Z,SPX   240315C05170000,S,150,2024-03-14,2024-03-15,2024-03-14 15:52:53.168845339+00:00
2024-03-14T17:05:47.493976016Z,SPX   240315P05130000,B,89,2024-03-14,2024-03-15,2024-03-14 17:05:47.493976016+00:00
2024-03-14T17:08:08.626605642Z,SPX   240315P05140000,S,67,2024-03-14,2024-03-15,2024-03-14 17:08:08.626605642+00:00
2024-03-14T18:31:49.266509513Z,SPX   240621P05215000,B,52,2024-03-14,2024-06-21,2024-03-14 18:31:49.266509513+00:00
2024-03-14T19:08:10.702465627Z,SPX   240419P05120000,B,102,2024-03-14,2024-04-19,2024-03-14 19:08:10.702465627+00:00
2024-03-14T19:35:00.349733352Z,SPX   240315P04325000,S,17,2024-03-14,2024-03-15,2024-03-14 19:35:00.349733352+00:00
2024-03-14T19:57:06.311471980Z,SPX   240315C05020000,B,149,2024-03-14,2024-03-15,2024-03-14 19:57:06.311471980+00:00
2024-03-14T19:59:27.361891909Z,SPX   240621C05425000,B,19,2024-03-14,2024-06-21,2024-03-14 19:59:27.361891909+00:00
2024-03-15T13:53:18.305189335Z,SPX   240621P05185000,S,85,2024-03-15,2024-06-21,2024-03-15 13:53:18.305189335+00:00
2024-03-15T15:51:18.886359478Z,SPX   240419C05135000,B,30,2024-03-15,2024-04-19,2024-03-15 15:51:18.886359478+00:00
2024-03-15T16:26:49.691192008Z,SPX   240419C05125000,B,151,2024-03-15,2024-04-19,2024-03-15 16:26:49.691192008+00:00
2024-03-18T14:02:33.848952358Z,SPX   240419P04600000,B,1614,2024-03-18,2024-04-19,2024-03-18 14:02:33.848952358+00:00
2024-03-20T14:59:41.471064171Z,SPX   240621C05245000,B,33,2024-03-20,2024-06-21,2024-03-20 14:59:41.471064171+00:00
2024-03-20T15:23:40.372160123Z,SPX   240621P04900000,B,604,2024-03-20,2024-06-21,2024-03-20 15:23:40.372160123+00:00
2024-03-20T18:25:12.610053727Z,SPX   240621C05250000,S,4,2024-03-20,2024-06-21,2024-03-20 18:25:12.610053727+00:00
2024-03-20T19:50:13.026667403Z,SPX   240419C05260000,S,227,2024-03-20,2024-04-19,2024-03-20 19:50:13.026667403+00:00
2024-03-20T20:10:57.511297784Z,SPX   240517P03375000,S,2088,2024-03-20,2024-05-17,2024-03-20 20:10:57.511297784+00:00
2024-03-20T20:11:09.051313521Z,SPX   240621C05290000,B,13,2024-03-20,2024-06-21,2024-03-20 20:11:09.051313521+00:00
2024-03-21T13:49:18.043859161Z,SPX   240517P05050000,S,123,2024-03-21,2024-05-17,2024-03-21 13:49:18.043859161+00:00
2024-03-21T17:16:54.047398296Z,SPX   241115P06000000,B,15,2024-03-21,2024-11-15,2024-03-21 17:16:54.047398296+00:00
2024-03-22T16:02:46.966789014Z,SPX   241018C05200000,B,12,2024-03-22,2024-10-18,2024-03-22 16:02:46.966789014+00:00
2024-03-22T19:50:20.714619435Z,SPX   240816C05420000,B,89,2024-03-22,2024-08-16,2024-03-22 19:50:20.714619435+00:00
2024-03-25T15:41:52.481291976Z,SPX   240719C05590000,S,400,2024-03-25,2024-07-19,2024-03-25 15:41:52.481291976+00:00
2024-03-25T19:35:55.241142727Z,SPX   251219C04900000,S,6,2024-03-25,2025-12-19,2024-03-25 19:35:55.241142727+00:00
2024-03-26T14:43:42.867814706Z,SPX   240621P04100000,S,1137,2024-03-26,2024-06-21,2024-03-26 14:43:42.867814706+00:00
2024-03-27T14:12:57.605873678Z,SPX   240621C05500000,B,236,2024-03-27,2024-06-21,2024-03-27 14:12:57.605873678+00:00
2024-03-27T16:02:48.911011129Z,SPX   240419C05510000,S,1981,2024-03-27,2024-04-19,2024-03-27 16:02:48.911011129+00:00
2024-03-28T16:09:33.571832853Z,SPX   240517C04000000,S,56,2024-03-28,2024-05-17,2024-03-28 16:09:33.571832853+00:00
